Order ID,Order Date,Customer ID,Customer Name,Region,Category,Product Name,Quantity,Sales,Profit,Year,Month,Profit Margin
ORD00001,2023-04-08,CUST8985,Customer_82,North,Electronics,Camera,4,4994.71,1170.97,2023,4,23.44420396779793
ORD00002,2024-09-21,CUST8145,Customer_414,North,Clothing,T-Shirt,7,9121.75,951.97,2024,9,10.436264971085592
ORD00003,2023-11-11,CUST9192,Customer_3,South,Clothing,T-Shirt,8,14800.81,-1821.01,2023,11,-12.30344825722376
ORD00004,2022-07-31,CUST5913,Customer_25,North,Sports,Gym Gloves,7,4568.77,486.61,2022,7,10.65078784880832
ORD00005,2023-09-11,CUST5105,Customer_414,West,Home & Kitchen,Chair,8,1992.25,-313.0,2023,9,-15.710879658677374
ORD00006,2024-04-05,CUST4645,Customer_113,South,Home & Kitchen,Table,9,6841.12,-131.22,2024,4,-1.9181069766354049
ORD00007,2024-07-02,CUST7935,Customer_383,West,Home & Kitchen,Table,8,8479.93,-1139.67,2024,7,-13.439615657204717
ORD00008,2022-12-23,CUST1186,Customer_251,South,Home & Kitchen,Cookware Set,6,7668.56,-29.31,2022,12,-0.3822099585841409
ORD00009,2023-10-01,CUST9149,Customer_348,East,Electronics,Headphones,3,3622.68,-77.7,2023,10,-2.144820961277287
ORD00010,2023-05-09,CUST4214,Customer_9,South,Home & Kitchen,Mixer,8,13773.0,-1308.15,2023,5,-9.497930734044871
ORD00011,2024-01-16,CUST6227,Customer_288,South,Clothing,Shoes,2,3089.96,-3.71,2024,1,-0.12006627917513495
ORD00012,2022-06-30,CUST9377,Customer_165,North,Sports,Football,5,9312.09,1442.16,2022,6,15.486963721355787
ORD00013,2022-09-02,CUST7785,Customer_493,South,Clothing,T-Shirt,8,1403.01,271.81,2022,9,19.373347303297912
ORD00014,2024-04-24,CUST2632,Customer_33,East,Home & Kitchen,Chair,8,8441.53,799.15,2024,4,9.466885742276576
ORD00015,2022-11-03,CUST7578,Customer_290,East,Sports,Tennis Racket,2,2443.54,-405.75,2022,11,-16.605007489134614
ORD00016,2023-12-29,CUST1367,Customer_18,East,Clothing,Jeans,5,6012.75,1761.73,2023,12,29.299904369880668
ORD00017,2023-10-08,CUST2960,Customer_50,West,Sports,Tennis Racket,6,10759.8,-1890.64,2023,10,-17.571330322124947
ORD00018,2024-09-01,CUST7445,Customer_176,West,Electronics,Laptop,3,3644.73,633.06,2024,9,17.369187841074645
ORD00019,2024-11-28,CUST1152,Customer_68,North,Home & Kitchen,Lamp,2,3293.48,287.83,2024,11,8.739388124415512
ORD00020,2022-11-14,CUST5743,Customer_320,East,Clothing,Jacket,10,12599.59,-866.4,2022,11,-6.8764142325266135
ORD00021,2023-06-27,CUST5160,Customer_43,South,Sports,Cricket Bat,3,5483.87,-111.47,2023,6,-2.0326885940038695
ORD00022,2022-11-12,CUST1261,Customer_459,North,Clothing,Jacket,5,6935.58,435.24,2022,11,6.275466507487478
ORD00023,2024-12-27,CUST5161,Customer_315,South,Home & Kitchen,Lamp,1,1837.88,487.96,2024,12,26.550155614077088
ORD00024,2023-08-31,CUST3128,Customer_29,West,Clothing,Jeans,10,6968.14,1048.09,2023,8,15.041173110758393
ORD00025,2023-06-18,CUST7099,Customer_24,West,Clothing,T-Shirt,9,1748.57,232.77,2023,6,13.31202067975546
ORD00026,2022-08-18,CUST2491,Customer_106,West,Clothing,Shoes,5,138.25,37.28,2022,8,26.965641952983727
ORD00027,2022-08-20,CUST4779,Customer_119,South,Electronics,Laptop,2,388.49,-33.44,2022,8,-8.607686169528172
ORD00028,2024-04-02,CUST3453,Customer_276,West,Electronics,Headphones,2,991.47,33.73,2024,4,3.4020192239805533
ORD00029,2024-06-21,CUST7419,Customer_386,East,Home & Kitchen,Chair,5,6631.71,1568.08,2024,6,23.645183519786
ORD00030,2024-06-24,CUST8667,Customer_359,East,Sports,Cricket Bat,1,1042.83,252.44,2024,6,24.20720539301708
ORD00031,2022-09-22,CUST5771,Customer_360,North,Clothing,Shoes,6,5930.54,930.18,2022,9,15.684575097714543
ORD00032,2024-09-20,CUST3345,Customer_281,North,Home & Kitchen,Lamp,9,5369.48,1497.68,2024,9,27.89245886007584
ORD00033,2022-05-28,CUST2561,Customer_242,West,Electronics,Tablet,9,8420.33,-992.92,2022,5,-11.791936895584852
ORD00034,2022-01-16,CUST3162,Customer_477,North,Clothing,Shoes,10,12428.91,-545.86,2022,1,-4.391857371241726
ORD00035,2024-02-01,CUST9986,Customer_135,East,Clothing,Jeans,10,15986.84,383.85,2024,2,2.401037353223026
ORD00036,2023-01-01,CUST4913,Customer_206,South,Electronics,Laptop,1,972.98,290.49,2023,1,29.85570104215914
ORD00037,2022-02-08,CUST3086,Customer_174,South,Home & Kitchen,Cookware Set,8,1716.44,485.73,2022,2,28.298687982102493
ORD00038,2023-07-09,CUST2354,Customer_15,North,Home & Kitchen,Mixer,7,1359.04,280.92,2023,7,20.67047327525312
